pmid,title,abstract,authors,journal,publication_date,retrieved_with_keyword
31130934,"Molecular Epidemiology and Clinical Features of Rotavirus Infection Among Pediatric Patients in East Java, Indonesia During 2015-2018: Dynamic Changes in Rotavirus Genotypes From Equine-Like G3 to Typical Human G1/G3.","Group A rotavirus (RVA) is the most important cause of severe gastroenteritis among children worldwide, and effective RVA vaccines have been introduced in many countries. Here we performed a molecular epidemiological analysis of RVA infection among pediatric patients in East Java, Indonesia, during 2015-2018. A total of 432 stool samples were collected from hospitalized pediatric patients with acute gastroenteritis. None of the patients in this cohort had been immunized with an RVA vaccine. The overall prevalence of RVA infection was 31.7% (137/432), and RVA infection was significantly more prevalent in the 6- to 11-month age group than in the other age groups (P < 0.05). Multiplex reverse transcription-PCR (RT-PCR) revealed that the most common G-P combination was equine-like G3P[8] (70.8%), followed by equine-like G3P[6] (12.4%), human G1P[8] (8.8%), G3P[6] (1.5%), and G1P[6] (0.7%). Interestingly, the equine-like strains were exclusively detected until May 2017, but in July 2017 they were completely replaced by a typical human genotype (G1 and G3), suggesting that the dynamic changes in RVA genotypes from equine-like G3 to typical human G1/G3 in Indonesia can occur even in the country with low RVA vaccine coverage rate. The mechanism of the dynamic changes in RVA genotypes needs to be explored. Infants and children with RVA-associated gastroenteritis presented more frequently with some dehydration, vomiting, and watery diarrhea, indicating a greater severity of RVA infection compared to those with non-RVA gastroenteritis. In conclusion, a dynamic change was found in the RVA genotype from equine-like G3 to a typical human genotype. Since severe cases of RVA infection were prevalent, especially in children aged 6 to 11 months or more generally in those less than 2 years old, RVA vaccination should be included in Indonesia's national immunization program.","Athiyyah AF, Utsumi T, Wahyuni RM, Dinana Z, Yamani LN, Soetjipto, Sudarmo SM, Ranuh RG, Darma A, Juniastuti, Raharjo D, Matsui C, Deng L, Abe T, Doan YH, Fujii Y, Shimizu H, Katayama K, Lusida MI, Shoji I",Front Microbiol,2019,Acute Diarrhea AND Indonesia
37321576,Inferior vena cava to aorta ratio in dehydrated pediatric patients: a systematic review and meta-analysis.,"BACKGROUND: Dehydration due to acute diarrhea is among the leading causes of mortality. However, advancements in management and technology do not help clinicians differentiate dehydration degrees. Ultrasound using the inferior vena cava to aorta (IVC/ Ao) ratio is a promising noninvasive technique to identify significant pediatric dehydration. PUSPOSE: Therefore, this systematic review and meta-analysis aimed to examine the diagnostic parameters of the IVC/Ao ratio for predicting clinically significant dehydration in pediatric patients. METHODS: We searched the MEDLINE, PubMed, Cochrane Library, ScienceDirect, and Google Scholar databases for studies of pediatric patients (</=18 years old) who presented with signs and symptoms of dehydration due to acute diarrhea, gastroenteritis, or vomiting. The inclusion criteria were cross-sectional, case-control, cohort, and randomized controlled trial study design and publication in any language. We then conducted a meta-analysis using the midas and metandi commands from Stata software. RESULTS: Five studies of 461 patients were included. The combined sensitivity was 86% (95% confidence interval [CI], 79%-91%), while the specificity was 73% (95% CI, 59%-84%). The area under the curve was 0.89 (95% CI, 0.86-0.91). The positive likelihood ratio (LR+) was 3.2 (95% CI, 2.1-5.1) with a 76% posttest probability, while the negative likelihood ratio (LR-) was 0.18 (95% CI, 0.12-0.28) with a 16% posttest probability. The combined negative predictive value was 0.83 (95% CI, 0.75-0.91), while the positive predictive value was 0.75 (95% CI, 0.68-0.82). CONCLUSION: The IVC/Ao ratio was insufficient to exclude or confirm significant dehydration in pediatric patients. More studies are needed, especially multicenter, adequately powered diagnostic research, to will help establish the usefulness of the IVC/Ao ratio.","Octavius GS, Imanuelly M, Wibowo J, Heryadi NK, Widjaja M",Clin Exp Pediatr,2023 Nov,Acute Diarrhea AND Indonesia
34566316,Suppressive effect of goat bile in Plasmodium berghei ANKA infection in mice.,"BACKGROUND AND AIM: Some individuals in Indonesia consume intact goat gallbladder to prevent and treat malaria. The acute and subacute toxicity tests of goat bile (GB) have shown mild diarrhea in mice. Therefore, this study aimed to evaluate the suppressive effect of GB on parasitemia, splenomegaly, hepatomegaly, and blood biochemistry to assess liver and kidney function in BALB/c mice infected with Plasmodium berghei ANKA. MATERIALS AND METHODS: Fifty healthy mice were infected with P. berghei ANKA and divided into five groups. Mice in three groups were administered 0.5 mL of 25%, 50%, or 100% of GB by gavage. Animals in Group 4 were administered 187.2 mg/kg BW of dihydroartemisinin-piperaquine phosphate as a positive control (POS Group). Mice in fifth group were administered sterile water as negative (NEG) controls. Further, 30 uninfected mice were divided into groups 6-8 and administered GB as were mice in the first three groups. Group 9 included 10 uninfected and untreated animals as healthy controls. Treatments were administered in a 4-day suppressive test followed by daily observation of Giemsa-stained blood smears. On day 7, mice were sacrificed to measure the length and weight of spleens and livers, plasma levels of aspartate aminotransferase (AST), alanine aminotransferase (ALT), blood urea nitrogen (BUN), and creatinine. RESULTS: GB suppressed parasitemia but did not affect the size and weight of spleens or livers or plasma levels of AST and ALT compared to uninfected GB-treated and healthy control animals. Conversely, plasma levels of BUN and creatinine were suppressed and remained in the normal range in all groups of mice. CONCLUSION: GB suppresses parasitemia with no significant impact on hepatic enzymes in GB-treated infected mice. Liver dysfunction in GB-treated infected mice was due to P. berghei rather than GB treatment.","Arwati H, Bahalwan RR, Hapsari WT, Wardhani KA, Aini KN, Apsari PIB, Wardhani P",Vet World,2021 Aug,Acute Diarrhea AND Indonesia
24669783,"Risk factors of rotavirus diarrhea in hospitalized children in Sanglah Hospital, Denpasar: a prospective cohort study.","BACKGROUND: Diarrhea is a major public health concern throughout the world because the prevalence of morbidity of diarrhea has not changed significantly in the past decade. It remains the third leading cause of death among children less than 5 years of age. Recent surveillance studies have shown that rotavirus is a significant cause of pediatric hospitalization and death due to diarrhea. Indonesia has limited data on risk factors, disease burden, and deaths in children due to rotavirus diarrhea. The objective of this study was to examine the above mentioned factors related to rotavirus diarrhea in hospitalized children in Sanglah Hospital, Denpasar. METHODS: A prospective cohort study was conducted at Sanglah Hospital Denpasar from April 2009 to December 2011. The present study was part of a nationwide study on Extension for Hospital-based Surveillance and Strain Characterization of Rotavirus Diarrhea Indonesia involving four hospitals throughout Indonesia as a part of the Asian Rotavirus Surveillance Network. We studied children aged <5 years who were hospitalized with acute diarrhea, and analyzed their stool samples using an immunoassay that detects the rotavirus antigen. RESULTS: A total of 656 patients met the inclusion criteria for this study. Of 5805 patients under the age of 5 who were hospitalized between April 2009 and December 2011, the prevalence of diarrhea among hospitalized pediatric patients was 11.3% and the prevalence of rotavirus diarrhea was 49.8%. The male to female ratio of those affected by rotavirus was 1.6:1. The occurrence of vomiting was significantly higher in rotavirus diarrhea than in non-rotavirus diarrhea (RR, 1.4; 95% CI, 1.08 to 1.70; p = 0.004). CONCLUSIONS: Diarrhea remains an important cause of hospitalization in children, and rotavirus was the most important etiology. We found that boys had a greatest risk of rotavirus infection than girls. Good nutritional status and breastfeeding provided the same protection against rotavirus and non-rotavirus diarrhea.","Salim H, Karyana IP, Sanjaya-Putra IG, Budiarsa S, Soenarto Y",BMC Gastroenterol,2014 Mar 26,Acute Diarrhea AND Indonesia
36625390,"Complete genome analyses of G12P[8] rotavirus strains from hospitalized children in Surabaya, Indonesia, 2017-2018.","Rotavirus A (RVA) is a major viral cause of acute gastroenteritis (AGE) worldwide. G12 RVA strains have emerged globally since 2007. There has been no report of the whole genome sequences of G12 RVAs in Indonesia. We performed the complete genome analysis by the next-generation sequencing of five G12 strains from hospitalized children with AGE in Surabaya from 2017 to 2018. All five G12 strains were Wa-like strains (G12-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1) and were clustered into lineage-III of VP7 gene phylogenetic tree. STM430 sample was observed as a mixed-infection between G12 and G1 strains: G12/G1-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1. A phylogenetic tree analysis revealed that all five Indonesian G12 strains (SOEP379, STM371, STM413, STM430, and STM433) were genetically close to each other in all 11 genome segments with 98.0%-100% nucleotide identities, except VP3 and NSP4 of STM430, suggesting that these strains have originated from a similar ancestral G12 RVA. The VP3 and NSP4 genome segments of STM430-G12P[8] were separated phylogenetically from those of the other four G12 strains, probably due to intra-genotype reassortment between the G12 and G1 Wa-like strains. The change from G12P[6] lineage-II in 2007 to G12P[8] lineage-III 2017-2018 suggests the evolution and diversity of G12 RVAs in Indonesia over the past approximately 10 years.","Yamani LN, Utsumi T, Doan YH, Fujii Y, Dinana Z, Wahyuni RM, Gunawan E, Soegijanto S, Athiyyah AF, Sudarmo SM, Ranuh RG, Darma A, Soetjipto, Juniastuti, Bawono RG, Matsui C, Deng L, Abe T, Shimizu H, Ishii K, Katayama K, Lusida MI, Shoji I",J Med Virol,2023 Feb,Acute Diarrhea AND Indonesia
36640074,"RECTAL PROLAPSE IN THE SULAWESI CRESTED BLACK MACAQUE (MACACA NIGRA): MORBIDITY, MORTALITY, AND RISK FACTORS.","Empirical data suggest that rectal prolapse (RP) is common in captive Sulawesi crested black macaques (Macaca nigra) in Europe, resulting in the euthanasia of animals that experience repeat occurrences. However, the prevalence, etiology, and risk factors of RP remain unidentified. The aims of this retrospective study were to assess the morbidity and mortality of RP, to provide an overview of management practices, and to identify risk factors for RP in this species. A questionnaire was sent to all European Ex situ Programme institutions that housed M. nigra between 01 January 2014 and 31 December 2020. Zoological Information Management System medical records and the studbook were used to obtain additional information. The questionnaire had a response rate of 65%, accounting for 204 animals. Of these animals, 25 (12.3%) suffered from at least one RP event during the study period and recurrence was noted in 72%. The majority of prolapses reverted naturally, but 28% of afflicted animals were euthanized for this ailment. Institutions with M. nigra with high frequencies of diarrhea (P= 0.035), those that provided diets of >/=90% vegetables and high-fiber pellet (P < 0.001), and those with more male than female M. nigra (P < 0.001) had increased odds of RP. Institutions that provided fruits daily (P < 0.002) had reduced odds of having RP cases. Although correlation of RP with diet was identified, confounding cannot be excluded, and a detailed dietary analysis needs to take place before altering feeding practices. Acute stressors and detection of protozoa in fecal samples were common findings before an RP event. Demographic analysis indicated that aged females, young males, and subordinate individuals were most affected by this condition. Where tested during an RP intervention, animals had low serum levels of vitamin D. Pedigree analysis hinted at genetic predisposition in this species and requires further investigation.","Van de Weyer Y, Rowden LJ, Guthrie A, Tahas SA",J Zoo Wildl Med,2023 Jan,Acute Diarrhea AND Indonesia
31837954,A comprehensive assessment of universal health coverage in 111 countries: a retrospective observational study.,"BACKGROUND: The goal of universal health coverage (UHC) requires that everyone receive needed health services, and that families who get needed services do not suffer undue financial hardship. Tracking progress towards UHC requires measurement of both these dimensions, and a way of trading them off against one another. METHODS: We measured service coverage by a weighted geometric average of four prevention indicators (antenatal care, full immunisation, and screening for breast and cervical cancers) and four treatment indicators (skilled birth attendance, inpatient admission, and treatment for acute respiratory infection and diarrhoea), financial protection by the incidence of catastrophic health expenditures (those exceeding 10% of household consumption or income), and a country's UHC performance as a geometric average of the service coverage index and the complement of the incidence of catastrophic expenditures. Where possible, we adjusted service coverage for inequality, penalising countries with a high level of inequality. The bulk of data used in this study were from the World Bank's Health Equity and Financial Protection Indicators database (2019 version), comprising data from household surveys. Gaps in the data were supplemented with other survey data and (where necessary) non-survey data from other sources (administrative, modelled, and imputed data). FINDINGS: A low incidence of catastrophic expenses sometimes reflects low service coverage (often in low-income countries) but sometimes occurs despite high service coverage (often in high-income countries). At a given level of service coverage, financial protection also varies. UHC index scores are generally higher in higher-income countries, but there are variations within income groups. Adjusting the UHC index for inequality in service coverage makes little difference in some countries, but reduces it by more than 10% in others. Seven of the 12 countries for which we were able to produce trend data have increased their UHC index over time (with the greatest average yearly increases seen in Ghana [1.43%], Indonesia [1.85%], and Vietnam [2.26%]), mostly by improving both financial protection and service coverage. Some increased their UHC index, despite reductions in financial protection, by substantially increasing their service coverage. The UHC index decreased in five of 12 countries with trend data, mostly because financial protection worsened with stagnant or declining service coverage. Our UHC indicators (except inpatient admissions) are significantly and positively associated with GDP per capita, and most are correlated with the share of health spending channelled through social health insurance and government schemes. However, associations of our UHC indicators with the share of GDP spent on health and the shares of health spending channelled through non-profit and private insurance are ambiguous. INTERPRETATION: Progress towards UHC can be tracked using an index that captures both service coverage and financial protection. Although per-capita income is a good predictor of a country's UHC index score, some countries perform better than others in the same income group or even in the income group above their own. Strong UHC performance is correlated with the share of a country's health budget that is channelled through government and social health insurance schemes. FUNDING: None.","Wagstaff A, Neelsen S",Lancet Glob Health,2020 Jan,Acute Diarrhea AND Indonesia
40168384,Antibiotic prescribing for children five years or younger in Indonesian primary care settings.,"INTRODUCTION: Children are at a higher risk of antibiotic overprescribing, while limited surveillance is evident in primary care settings. This study aims to examine patterns of infections and associated antibiotic use in children attending Primary Health Centers (PHCs), including an explanatory analysis of antibiotics for non-pneumonia acute respiratory infections (ARIs), pneumonia, and diarrhea. METHODOLOGY: An observational study used records of all children  5 years of age prescribed antibiotics from January 2019 to December 2020 in selected PHCs in Surabaya and Banjarmasin, Indonesia. Data on children's characteristics, diagnoses, and antibiotics prescribed, were collected from patient records. The explanatory analysis was based on national guidelines. A descriptive analysis was used to summarize the data. RESULTS: A total of 1053 and 1463 children's records with antibiotics were located at Surabaya and Banjarmasin PHCs, respectively. ARIs were the most common indications for antibiotic prescribing in both settings, either non-pneumonia ARIs (60.6% versus 33.8%, respectively) or pneumonia (20.2% versus 25.2%, respectively). High conformity with guidelines were evident for antibiotics used for pneumonia (i.e., amoxicillin/cotrimoxazole/erythromycin - 89.3%) or specified upper ARIs (e.g., amoxicillin for pharyngitis - 73.9%), and for diarrhea (i.e., cotrimoxazole - 73.1%). However, some information, such as diagnoses, were not recorded or were unspecific, hence limiting assessment. CONCLUSIONS: This study provided insights into prescribing antibiotics among children in Indonesia. Lack of specific guidelines for children and inadequate documentation for antibiotic prescribing warrants improvement. Larger prospective studies should assess appropriate prescribing at the national level to optimize the use of antibiotics.","Wibowo YI, Firdhausi N, Rahmah N, Setianur N, Sunderland B, Setiadi AP",J Infect Dev Ctries,2025 Mar 31,Acute Diarrhea AND Indonesia
9425374,"Morbidity and growth performance of infants in Madura, Indonesia.","Between January 1987 and July 1988, all children born in two villages on the island of Madura, Indonesia were visited weekly by a field worker trained to interview mothers on disease symptoms. The maximum recall period was 1 week. All infants were measured (weight and height) at monthly intervals. Information on growth and morbidity is analysed for infants from birth until the age of 11 months. Morbidity, defined as acute respiratory tract infection (ARI), diarrhoea, fever and other diseases, is analysed over 4-week periods and related to growth performance. In total, there are 1373 4-week reporting periods with morbidity information from birth to the age of 12 months. Of all the diseases recorded (1021), 47% were ARI, 13% diarrhoea, 14% fever and 26% other diseases. The average (SD) duration of diarrhoea was 7 (11) days, ARI 14 (9) days, fever 6 (4) days and 16 (10) days for other diseases. The most striking results in this analysis are: (i) the lack of a relationship between morbidity and growth (either linear or weight) during the 1st 6 months of life; (ii) the existence of a relationship between illness and weight increment for which only ARI showed significant influence for infants of 6 months and more; (iii) the lack of a relationship between morbidity and linear growth performance at all ages; and (iv) the fact that no cumulative effect of disease on growth performance was found to explain the observations.","Kolsteren PW, Kusin JA, Kardjati S",Ann Trop Paediatr,1997 Sep,Acute Diarrhea AND Indonesia
40276188,Jembrana disease in Indonesia: An updated review.,"Jembrana illness is an infectious disease that affects Balinese cattle in Indonesia. This disease is caused by the Jembrana disease virus (JDV), a lentivirus of the Retroviridae family. It was initially detected in 1964 in Jembrana Regency, Bali, Indonesia. Bali cattle have been widely disseminated throughout the Indonesian archipelago, and there is evidence that Jembrana disease has affected Bali cattle on the islands of Bali, Sumatra, and Java. During the acute stage, JDV is present in secreted fluids such as saliva, milk, and nasal secretions. There is no evidence of clinical illness recurrence in animals that have survived acute JDV infection. The clinical symptoms of Jembrana illness in cattle include elevated fever, stool bloody diarrhea, increased salivation, and enlarged lymph nodes. Jembrana illness is transmitted through direct contact between sick and healthy cows. This disease is also believed to be spread by blood-sucking insects, including flies, fleas, and mosquitoes. The most common risk factors are unregulated animal traffic movements that are not even under the supervision of animal health officers. Livestock producers suffered immediate financial losses as a result of the local epidemic of the Jembrana disease. Although there is currently no known cure for Jembrana disease, it can be prevented with vaccination. To stop the spread of the disease, livestock travel must also be considered.","Meles DK, Khairullah AR, Utama S, Wurlina W, Mulyati S, Mustofa I, Rimayanti R, Lestari TD, Moses IB, Wibowo S, Wardhani BWK, Kurniasih DAA, Kusala MKJ, Ahmad RZ, Fauziah I, Wasito W, Akintunde AO",Open Vet J,2025 Mar,Acute Diarrhea AND Indonesia
39412871,Surveillance of travel-associated isolates elucidates the diversity of non-pandemic Vibrio cholerae.,"Vibrio cholerae is a Gram-negative bacterium found in aquatic environments and is the aetiological agent of cholera, characterized by acute watery diarrhoea and severe dehydration. Cholera presents a significant global health burden of an estimated 1.3-5 million annual cases, with the current pandemic caused by a toxigenic lineage of the O1 El Tor biotype called seventh pandemic El Tor (7PET) that is still ongoing. Whilst it is known that non-7PET lineages can cause sporadic disease, little is known about the transmission of these non-epidemic lineages. Thirty-four V. cholerae isolates were obtained from travellers returning from Indonesia to Australia between 2005 and 2017. These were whole genome sequenced, placed into a global phylogenetic context with 883 isolates, and screened for known genes associated with antimicrobial resistance and virulence. This analysis revealed that 30 isolates fell within non-7PET lineages and four within the 7PET lineage. Both 7PET and non-7PET isolates carried genes for resistance to antibiotics that are commonly used in cholera treatment such as tetracyclines and fluoroquinolones. Diverse virulence factors were also present in non-7PET isolates, with two isolates notably carrying toxin-coregulated pilus genes, which are primarily responsible for intestinal colonization in 7PET V. cholerae. This study demonstrates the role of travel in long-range carriage of epidemic and non-epidemic lineages of V. cholerae, and how sentinel travel surveillance can enrich our knowledge of V. cholerae diversity, reveal new biology about the spread of diverse lineages with differing disease potential and illuminate disease presence in endemic regions with limited surveillance data.","Bote L, Taylor-Brown A, Maes M, Ingle DJ, Valcanis M, Howden BP, Thomson NR",Microb Genom,2024 Oct,Acute Diarrhea AND Indonesia
24920797,Intranasal P particle vaccine provided partial cross-variant protection against human GII.4 norovirus diarrhea in gnotobiotic pigs.,"Noroviruses (NoVs) are the leading cause of nonbacterial acute gastroenteritis worldwide in people of all ages. The P particle is a novel vaccine candidate derived from the protruding (P) domain of the NoV VP1 capsid protein. This study utilized the neonatal gnotobiotic pig model to evaluate the protective efficacies of primary infection, P particles, and virus-like particles (VLPs) against NoV infection and disease and the T cell responses to these treatments. Pigs either were vaccinated intranasally with GII.4/1997 NoV (VA387)-derived P particles or VLPs or were inoculated orally with a GII.4/2006b NoV variant. At postinoculation day (PID) 28, pigs either were euthanized or were challenged with the GII.4/2006b variant and monitored for diarrhea and virus shedding for 7 days. The T cell responses in intestinal and systemic lymphoid tissues were examined. Primary NoV infection provided 83% homologous protection against diarrhea and 49% homologous protection against virus shedding, while the P particle and VLP vaccines provided cross-variant protection (47% and 60%, respectively) against diarrhea. The protection rates against diarrhea are significantly inversely correlated with T cell expansion in the duodenum and are positively correlated with T cell expansion in the ileum and spleen. The P particle vaccine primed for stronger immune responses than VLPs, including significantly higher numbers of activated CD4+ T cells in all tissues, gamma interferon-producing (IFN-gamma+) CD8+ T cells in the duodenum, regulatory T cells (Tregs) in the blood, and transforming growth factor beta (TGF-beta)-producing CD4+ CD25- FoxP3+ Tregs in the spleen postchallenge, indicating that P particles are more immunogenic than VLPs at the same dose. In conclusion, the P particle vaccine is a promising vaccine candidate worthy of further development. IMPORTANCE: The norovirus (NoV) P particle is a vaccine candidate derived from the protruding (P) domain of the NoV VP1 capsid protein. P particles can be easily produced in Escherichia coli at high yields and thus may be more economically viable than the virus-like particle (VLP) vaccine. This study demonstrated, for the first time, the cross-variant protection (46.7%) of the intranasal P particle vaccine against human NoV diarrhea and revealed in detail the intestinal and systemic T cell responses by using the gnotobiotic pig model. The cross-variant protective efficacy of the P particle vaccine was comparable to that of the VLP vaccine in pigs (60%) and to the homologous protective efficacy of the VLP vaccine in humans (47%). NoV is now the leading cause of pediatric dehydrating diarrhea, responsible for approximately 1 million hospital visits for U.S. children and 218,000 deaths in developing countries. The P particle vaccine holds promise for reducing the disease burden and mortality.","Kocher J, Bui T, Giri-Rachman E, Wen K, Li G, Yang X, Liu F, Tan M, Xia M, Zhong W, Jiang X, Yuan L",J Virol,2014 Sep 1,Acute Diarrhea AND Indonesia
40034976,Diagnosis and Management of Dengue Fever in a Nonendemic Country: Lessons From an Acute Febrile Illness in Iran During the COVID-19 Outbreak.,"Dengue fever is a tropical arboviral disease that presents with a broad spectrum of clinical manifestations and can occasionally emerge in nonendemic regions due to factors such as international travel. This case report details a 47-year-old Iranian man who had recently returned from Jakarta, Indonesia, presenting with fever, diarrhea, vomiting, and myalgia during the COVID-19 outbreak. Despite initial misdiagnoses, dengue fever was confirmed through polymerase chain reaction (PCR) testing. Moreover, the serological analysis using enzyme-linked immunosorbent assay (ELISA) further demonstrated the presence of both IgM and IgG antibodies against the dengue virus. Initially, the patient's symptoms overlapped with COVID-19 and gastrointestinal infections, complicating the diagnosis. The management included supportive care, precautions against bleeding, fluid therapy, and empirical antibiotics due to suspected coinfections. This case highlights the importance of considering travel history and the possibility of nonendemic diseases in the differential diagnosis of febrile illnesses of unknown origin (FUO), particularly during concurrent outbreaks. Comprehensive history-taking and rigorous diagnostic evaluation are essential in such cases.","Mozahheb Yousefi K, Aminian S, Ebrahimi M, Minaeian S, Laali A",Case Rep Infect Dis,2025,Acute Diarrhea AND Indonesia
25512695,"Molecular characteristics of rotavirus isolated from a diarrhea outbreak in october 2008 in bintuni bay, papua, indonesia.","BACKGROUND: Viral diarrhea continues to be a health problem in Indonesia that often causes outbreaks; in particular, acute viral diarrhea in young children. Rotavirus is the leading cause of severe diarrhea in children under two years of age. This study aimed to determine the genotypes of rotavirus in Bintuni Bay, Papua. METHODS: Stool specimens from 15 patients were collected and analyzed for rotavirus using an enzyme immunosorbent assay (EIA) and reverse transcriptase-polymerase chain reaction (RT-PCR). Subsequently, we sequenced the genetic material of rotavirus positive samples by RT-PCR and analyzed the results using Mega-4 software. RESULTS: Two rotavirus serotypes were identified from the diarrhea outbreak in Bintuni, Papua in October 2008: serotype G1 with G1P[6] (50%) and G1P[8] (16.7%) strains, and serotype G2 with G2P[4] (23.3%) strain. Phylogenetic tree analyses of VP7 protein showed that rotavirus-infected diarrhea in Bintuni Bay, Papua at that time was dominated by the G1 serotype (83%). CONCLUSION: The laboratory results showed that G1 serotype rotavirus was a cause of the outbreak of diarrhea in October 2008 in Bintuni, Papua.","Pratiwi E, Setiawaty V, Putranto RH",Virology (Auckl),2014,Acute Diarrhea AND Indonesia
2554854,"Rotavirus serotypes causing acute diarrhoea in hospitalized children in Yogyakarta, Indonesia during 1978-1979.","Rotavirus strains in stool specimens from 111 children aged 3-24 months admitted to hospital in Yogyakarta, Indonesia for treatment of acute diarrhoea were serotyped using VP7 serotype specific monoclonal antibodies in a double sandwich enzyme immunoassay. A serotype could be assigned to 59 of 111 specimens (53%). Inability to assign a serotype to 47% of specimens was probably due to loss of the outer capsid during transport of specimens from Indonesia to Australia. All four major human rotavirus serotypes were detected during the 15 month survey from June 1978 to August 1979, including one serotype 1, 5 serotype 2, 31 serotype 3, and 21 serotype 4 strains. One additional strain reacted with serotype 3 and 4 Mabs. Serotype 3 strains showed intratypic variation. The relative frequency of serotypes 2, 3, and 4 varied during the 15 months and appeared to be influenced by climatic changes associated with dry and wet seasons. Vaccine strategies must take account of comparatively rapid changes of predominant serotypes in a community and are only likely to be successful if comprehensive immunity can be established simultaneously against the four major human serotypes.","Bishop RF, Unicomb LE, Soenarto Y, Suwardji H, Ristanto, Barnes GL",Arch Virol,1989,Acute Diarrhea AND Indonesia
32974583,First case report of Schistosoma japonicum in Nepal.,"BACKGROUND: Schistosomiasis, globally, is significant public as well as veterinary health problem as it is associated with a wide range of clinical conditions in humans and animals. Schistosomiasis is mostly caused by the following species of genus Schistosoma: Schistosoma japonicum, Schistosoma haematobium, Schistosoma mekongi, Schistosoma intercalatum Schistosoma guineensis, Schistosoma malayensis and Schistosoma mansoni. S. japonicum might be considered as the most pathogenic among these species as the clinical disease caused by this parasite ranges from mild diarrhea, nausea, Katayama fever, portal hypertension, splenomegaly and ascites to liver cirrhosis and fibrosis. S. japonicum has been commonly encountered in China, the Philippines and Indonesia. According to WHO, at least 220.8 million people required preventive treatment for schistosomiasis in 2017 but only 102.3 million people were reported to have been treated. To our knowledge, there are no cases reported from Nepal. Hence, this is the first reported case of S. japonicum in Nepal. CASE PRESENTATION: A case of acute schistosomiasis due to S. japonicum was identified in CIWEC Hospital and Travel Medicine Center, Kathmandu, Nepal. The patient arrived with gastrointestinal symptoms without any pre-existing chronic illness with no evidence of travel outside of Spain since last August, but had travelled to many other countries 2 years ago. Timely diagnosis by stool routine and microscopic examination and formal-ether concentration technique led to successful treatment of the disease. CONCLUSION: As the parasite has not been reported to date in Nepal, many people are unaware of its mode of infection and pathogenesis. Many laboratory workers are heedless with the egg of the parasite due to which this parasite might be misdiagnosed or undiagnosed. This case report might help laboratory workers to be sentient about the parasite and further diagnosis in future.","Bajracharya D, Pandit S, Bhandari D",Access Microbiol,2020,Acute Diarrhea AND Indonesia
24818147,Effect of Toona microcarpa Harms leaf extract on the coagulation system.,"Toona microcarpa Harms is a tonic, antiperiodic, antirheumatic, and antithrombotic agent in China and India and an astringent and tonic for treating diarrhea, dysentery, and other intestinal infections in Indonesia. In this study, we prepared ethyl-acetate extract from the air-dried leaves of Toona microcarpa Harms and investigated the anticoagulant activities in vitro by performing activated partial thromboplastin time (APTT), prothrombin time (PT), and thrombin time (TT) assays. Antiplatelet aggregation activity of the extract was examined using adenosine diphosphate (ADP), collagen, and thrombin as agonists, and the inhibitions of factor Xa and thrombin were also investigated. Bleeding and clotting times in mice were used to determine its anticoagulant activities in vivo. It is found that Toona microcarpa Harms leaf extract (TMHE) prolonged APTT, PT, and TT clotting times in a dose-dependent manner and significantly inhibited platelet aggregation induced by thrombin, but not ADP or collagen. Clotting time and bleeding time assays showed that TMHE significantly prolonged clotting and bleeding times in vivo. In addition, at the concentration of 1 mg/mL, TMHE inhibited human thrombin activity by 73.98 +/- 2.78%. This is the first report to demonstrate that THME exhibits potent anticoagulant effects, possibly via inhibition of thrombin activity.","Chen H, Jin M, Wang YF, Wang YQ, Meng L, Li R, Wang JP, Gao L, Kong Y, Wei JF",Biomed Res Int,2014,Acute Diarrhea AND Indonesia
